geocode-glib 3.26.1-1
gettext 0.19.8.1-3
ghc-libs 8.6.5-1
ghostscript 9.27-1
giblib 1.2.4-7
giflib 5.1.9-3
gimp 2.10.10-1
girara 0.3.2-1
git 2.21.0-1
gjs 2:1.56.2-1
gksu 2.0.2-6
gl2ps 1.4.0-1
glew 2.1.0-1
glew1.10 1.10.0-2
glib-networking 2.60.2-1
glib2 2.60.2-1
glibc 2.29-1
glibmm 2.60.0-1
glm 0.9.9.5-1
glslang 7.11.3188-1
glu 9.0.0-5
glxosd 3.2.2-1
gmime 2.6.23+4+g91dcee38-2
gmp 6.1.2-2
gnome-desktop 1:3.32.2-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring 1:3.31.91-1
gnome-sound-recorder 3.32.0-1
gnome-terminal 3.32.2-1
gnome-twitch 0.4.2-8
gnupg 2.2.15-1
gnutls 3.6.7-1
go 2:1.12.4-1
gobject-introspection-runtime 1.60.1-1
google-chrome 74.0.3729.131-1
gotop 3.0.0-3
gparted 0.33.0-1
gperf 3.1-2
gperftools 2.7-1
gpgme 1.13.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
grilo 0.3.7-1
groff 1.22.4-1
grub 2.03.6-4
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsm 1.0.18-1
gssdp 1.2.1-1
gssproxy 0.8.2-1
gst-libav 1.16.0-1
gst-plugins-bad 1.16.0-1
gst-plugins-base 1.16.0-2
gst-plugins-base-libs 1.16.0-2
gst-plugins-good 1.16.0-1
gst-plugins-ugly 1.16.0-1
gst-python2 1.16.0-1
gstreamer 1.16.0-1
gtest 1.8.1-3
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-recordmydesktop 0.3.8-9
gtk-sharp-2 2.12.45-2
gtk-update-icon-cache 1:3.24.8-1
gtk2 2.24.32-1
gtk3-classic 3.24.8-1
gtkd 3.8.5-3
gtkmm 1:2.24.5-3
gtkmm3 3.24.1-1
gtksourceview-pkgbuild 4-2
gtksourceview2 2.10.5-4
gtksourceview3 3.24.11-1
gucharmap 12.0.1-1
gufw 18.10.0-1
guile 2.2.4-2
gupnp 1.2.1-1
gupnp-igd 0.2.5+3+gedd78a6-2
gutenprint 5.3.1-2
gvfs 1.40.1-2
gvfs-afc 1.40.1-2
gvfs-gphoto2 1.40.1-2
gvfs-mtp 1.40.1-2
gvfs-smb 1.40.1-2
gzip 1.10-1
harfbuzz 2.4.0-2
harfbuzz-icu 2.4.0-2
haskell-aeson 1.4.3.0-6
haskell-aeson-pretty 0.8.7-68
haskell-ansi-terminal 0.8.2-7
haskell-asn1-encoding 0.9.5-87
haskell-asn1-parse 0.9.4-98
