top - 20:19:01 up 2 days, 57 min,  1 user,  load average: 1,90, 2,03, 1,77
Tasks: 161 total,   2 running, 159 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11,1 us, 13,9 sy,  0,0 ni, 72,2 id,  0,0 wa,  2,8 hi,  0,0 si,  0,0 st
MiB Mem :   1873,8 total,    405,2 free,    946,2 used,    522,4 buff/cache
MiB Swap:   8192,0 total,   7885,0 free,    307,0 used.    614,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 471535 damez     20   0  232028   1528   1336 S   0,0   0,1   0:00.10 gvfs-mt+
 471539 damez     20   0  309944   1160    924 S   0,0   0,1   0:00.13 gvfsd-t+
 471630 damez     20   0  383932    520    520 S   0,0   0,0   0:00.08 gvfsd-n+
 471825 damez     20   0  311048    688    688 S   0,0   0,0   0:02.13 gvfsd-d+
 474600 damez     20   0  673152   1568    808 S   0,0   0,1   0:04.34 xdg-des+
 474608 damez     20   0  527380   1116    948 S   0,0   0,1   0:02.01 xdg-doc+
 474611 damez     20   0  231824      0      0 S   0,0   0,0   0:00.02 xdg-per+
 474636 damez     20   0   80020    296    248 S   0,0   0,0   0:00.56 pipewire
 511010 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
 596297 damez     20   0   13372   6404   3148 S   0,0   0,3   0:13.86 zsh
2201000 damez     20   0   64516   5972   4000 S   0,0   0,3   0:01.50 ncmpcpp
2288065 root      20   0       0      0      0 I   0,0   0,0   0:00.90 kworker+
2288076 root      20   0       0      0      0 I   0,0   0,0   0:01.70 kworker+
2288451 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
2293389 root      20   0  693736  34604  16968 S   0,0   1,8   1:06.24 Xorg
2293494 root      20   0  160504   3528   3528 S   0,0   0,2   0:00.07 lightdm
2293668 damez     20   0   20,0t  72356  34968 S   0,0   3,8   0:05.95 i3
2293699 damez     20   0  333512   4568   4480 S   0,0   0,2   0:00.13 lxpolkit
2293701 damez     20   0    5420    648    608 S   0,0   0,0   0:03.53 unclutt+
2293719 damez     20   0    7400   3320   2908 S   0,0   0,2   0:00.15 bash
2293722 damez     20   0  159664   3128   2888 S   0,0   0,2   0:01.56 at-spi2+
2293723 damez     20   0  364992  11668   6440 S   0,0   0,6   0:01.24 udiskie
2293737 damez     20   0  346912   5832   3896 S   0,0   0,3   0:00.91 xfce4-p+
2293779 damez     20   0  463828   5236   4004 S   0,0   0,3   0:00.32 dunst
2295495 damez     20   0   33496   9300   7788 S   0,0   0,5   0:01.61 xterm
2295497 damez     20   0   12744   2676   2624 S   0,0   0,1   0:00.72 zsh
